date	run_id	series	mode	seed	trials	detected	mutation_policy	fixture_name	fixture_size	fixture_sha256	raw_tsv_relpath	raw_tsv_sha256	signed_binary_sha256	source_commit	target	host	provenance
2026-04-25	legacy-2026-04-25-stl-cb17e0cd9b17	stl/sample.stl/518	sniper	42	100	73	single-bit-v1	sample.stl	518	unknown	docs/corruption-sweep-results/stl_sniper.tsv	cb17e0cd9b1765da6e54c73da7d9ede99116c4a17dc7d67922808aa9041248aa	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-theora-1a7690826fb8	theora/sample.ogv/51561	shotgun	42	100	100	random-4096-byte-overwrite-v1	sample.ogv	51561	unknown	docs/corruption-sweep-results/theora_shotgun.tsv	1a7690826fb882d50df65e5ad3d6238d44a6e926427cd0699b8bd20d51fb4579	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-theora-bacba09e967a	theora/sample.ogv/51561	sniper	42	100	100	single-bit-v1	sample.ogv	51561	unknown	docs/corruption-sweep-results/theora_sniper.tsv	bacba09e967a2355d04d9ba45487f3a0cccda3fa9a9ab0149b00aa151c62ea5a	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-toast-2bd2d935c133	toast/sample.toast/36864	bolter	42	100	0	contiguous-byte-span-v1	sample.toast	36864	unknown	docs/corruption-sweep-results/toast_bolter.tsv	2bd2d935c1338f3d0bfc0a0582319f4b8ddabacd288a094fdeea29bad485fdea	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-toast-84fa48a5e281	toast/sample.toast/36864	shotgun	42	100	10	random-4096-byte-overwrite-v1	sample.toast	36864	unknown	docs/corruption-sweep-results/toast_shotgun.tsv	84fa48a5e2811a24be9c878fef32fd6c6fe1b9c1784656b7aafe80a6a5aca7fa	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-toast-0669c53f0147	toast/sample.toast/36864	sniper	42	100	0	single-bit-v1	sample.toast	36864	unknown	docs/corruption-sweep-results/toast_sniper.tsv	0669c53f01479a20d992fa22b201837c4baaa2db886d1d00db930598d2f9c500	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-tta-c0836ad0a36d	tta/sample.tta/3127	sniper	42	100	97	single-bit-v1	sample.tta	3127	unknown	docs/corruption-sweep-results/tta_sniper.tsv	c0836ad0a36dbcd53cd00c2406d23c1e1749f026ef7d909c4a97b2e6aa129d9f	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-txf-ed6d8e3a4594	txf/sample.txf/140	sniper	42	100	3	single-bit-v1	sample.txf	140	unknown	docs/corruption-sweep-results/txf_sniper.tsv	ed6d8e3a4594d2342c09fab37524df79170e4b9f1fd552a084570c4935e6671e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-type1-0dd2761b215c	type1/sample.pfa/174	sniper	42	100	0	single-bit-v1	sample.pfa	174	unknown	docs/corruption-sweep-results/type1_sniper.tsv	0dd2761b215ca027b4209c272376d5595056eb5972b8ec40c6d8c61d3295b34e	unknown	unknown	unknown	unknown	historical-raw-incomplete
2026-04-25	legacy-2026-04-25-vcard-d83b042128ac	vcard/sample.vcf/198	sniper	42	100	32	single-bit-v1	sample.vcf	198	unknown	docs/corruption-sweep-results/vcard_sniper.tsv	d83b042128ac78a0e7e5b6fb69bbfc407917127f1435cfdd2ace092c30b5e8de	unknown	unknown	unknown	unknown	historical-raw-incomplete
